id	General_phylogeny	Common_name	Family	Genus	Species	Notes	Sequencing_Type	Paper	Accession	Multi_species_accession	is.subset	primerset
102M_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
10_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
10_Sopo_009	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
11_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
122_011	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
12_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
12_Makumba_009	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
13_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
14_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
157_009	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
15_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
16Susa_011	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
16_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
17_009	Ape	human	Hominidae	homo	homo sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
17_Mayele_009	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
18Lungu_011	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
18_009	Ape	human	Hominidae	homo	homo sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
19_009	Ape	human	Hominidae	homo	homo sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
1_010	Ape	chimpanzee	Hominidae	pan	pan troglodytes schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
1_Mata_1_009	Ape	gorilla	Hominidae	gorilla	gorilla gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
